NETWORK PATCHING,,,,,,,
DC3-JPM-0000-031-ML1,ET49,DC3-JPM-0000-031-MW1,ET44,10G-CR,,,
DC3-JPM-0000-031-ML1,ET52,DC3-JPM-0000-032-ML2,ET52,10G-CR,,,
,,,,,,,
DC3-JPM-0000-032-ML2,ET48,DC3-JPM-0000-031-ML1,MA1,1000-T,,,
DC3-JPM-0000-032-ML2,ET49,DC3-JPM-0000-032-MW2,ET44,10G-CR,,,
DC3-JPM-0000-031-MW1,ET43,DC3-JPM-0000-032-MW2,ET43,10G-CR,,,
,,,,,,,
DC3-JPM-0000-031-MW1,ET47,DC3-PQT-0008-085-C01,ET48,10G-CR,,,
DC3-JPM-0000-032-MW2,ET47,DC3-PQT-0008-085-C02,ET48,10G-CR,,,
,,,,,,,
DC3-JPM-0000-031-ML1,ET44,DC3-FIC-0000-031-CS1,ET1,1000-T,,,
DC3-JPM-0000-032-ML2,ET44,DC3-FIC-0000-031-CS1,ET2,1000-T,,,
DC3-JPM-0000-031-ML1,ET43,DC3-FIC-0000-031-PD1,ET1,1000-T,,,
DC3-JPM-0000-032-ML2,ET43,DC3-FIC-0000-032-PD2,ET1,1000-T,,,
,,,,,,,
,,,,,,,
VC switches - mgmt and inter switch links,,,,,,,
DC3-JPM-0000-030-VC1,Ma1,DC3-JPM-0000-031-ML1,ET41,1000-T,,,
DC3-JPM-0000-031-VC2,Ma1,DC3-JPM-0000-032-ML2,ET41,1000-T,,,
DC3-JPM-0000-030-VC1,ET47,DC3-JPM-0000-031-VC2,ET47,10G-MM,,,
DC3-JPM-0000-030-VC1,ET48,DC3-JPM-0000-031-VC2,ET48,10G-MM,,,
VC switches - uplinks from existing switches,,,,,,,
DC3-FIC-0000-031-C01,ET42,DC3-JPM-0000-030-VC1,ET1,10G-MM,,,
DC3-FIC-0000-032-C02,ET42,DC3-JPM-0000-031-VC2,ET1,10G-MM,,,
DC3-EST-0000-029-C01,ET42,DC3-JPM-0000-030-VC1,ET2,10G-MM,,,
DC3-EST-0000-030-C02,ET42,DC3-JPM-0000-031-VC2,ET2,10G-MM,,,
DC3-EST-0000-029-UC1,ET42,DC3-JPM-0000-030-VC1,ET3,10G-MM,,,
DC3-EST-0000-030-UC2,ET42,DC3-JPM-0000-031-VC2,ET3,10G-MM,,,
,,,,,,,
,,,,,,,
,,,,,,,
cpacket - mgmt and uplink to SPIFFEE,,,,,,,
DC3-JPM-0000-030-AG1,MGMT,DC3-JPM-0000-031-ML1,ET44,1000-T,,,
DC3-JPM-0000-030-AG1,Eth25,SPIFFEE,Eth1 (?),40G-MM,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
taps,,,,,,,
These two are new cross connects,,,,,,,
DC3-JPM-0000-030-VC1,ET46,TAP A,port B,10G-SM,,,
DC3-JPM-0000-031-VC2,ET46,TAP B,port B,10G-SM,,,
DC3-PQT-0008-085-C01,ET44,TAP A,port A,10G-SM,,,
DC3-PQT-0008-085-C02,ET44,TAP B,port A,10G-SM,,,
These next two are existing connections,,,,,,,
DC3-JPM-0000-031-MW1,ET47,TAP A,port B,10G-SM,,,
DC3-JPM-0000-033-MW2,ET47,TAP B,port B,10G-SM,,,
DC3-PQT-0008-085-C01,ET48,TAP A,port A,10G-SM,,,
DC3-PQT-0008-085-C02,ET48,TAP B,port A,10G-SM,,,
,,,,,,,
These are the tap outputs to the cPacket,,,,,,,
TAP A,AB,DC3-JPM-0000-030-AG1,Eth1-2 (tx-rx),,,,
TAP B,AB,DC3-JPM-0000-030-AG1,Eth3-4 (tx-rx),,,,
TAP C,AB,DC3-JPM-0000-030-AG1,Eth5-6 (tx-rx),,,,
TAP D,AB,DC3-JPM-0000-030-AG1,Eth7-8 (tx-rx),,,,
,,,,,,,
spans,,,,,,,
DC3-JPM-0000-030-VC1,ET43,DC3-JPM-0000-030-AG1,Eth13,10G-MM,,,
DC3-JPM-0000-031-VC2,ET43,DC3-JPM-0000-030-AG1,Eth14,10G-MM,,,
DC3-FIC-0000-031-C01,ET43,DC3-JPM-0000-030-AG1,Eth15,10G-MM,,,
DC3-FIC-0000-032-C02,ET43,DC3-JPM-0000-030-AG1,Eth16,10G-MM,,,
DC3-EST-0000-029-C01,ET43,DC3-JPM-0000-030-AG1,Eth17,10G-MM,,,
DC3-EST-0000-030-C02,ET43,DC3-JPM-0000-030-AG1,Eth18,10G-MM,,,
DC3-EST-0000-029-UC1,ET43,DC3-JPM-0000-030-AG1,Eth19,10G-MM,,,
DC3-EST-0000-030-UC2,ET43,DC3-JPM-0000-030-AG1,Eth20,10G-MM,,,
DC3-JPM-0000-031-MW1,ET43,DC3-JPM-0000-030-AG1,Eth21,10G-MM,,,
DC3-JPM-0000-033-MW2,ET43,DC3-JPM-0000-030-AG1,Eth22,10G-MM,,,
,,,,,,,
,,,,,,,
SERVER PATCHING,,,,,,,
Device Name,Mod/Port,Device Name,Mod/Port,Cable Type,VLAN,Bond,
DC3-FIC-0000-031-C01,ET1,CEM-DC3-P001,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET2,CEM-DC3-P001,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET3,CEM-DC3-P001,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET1,CEM-DC3-P001,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET2,CEM-DC3-P001,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET3,CEM-DC3-P001,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET1,CEM-DC3-P001,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET1,CEM-DC3-P001,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET2,CEM-DC3-P001,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET4,CEM-DC3-P002,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET5,CEM-DC3-P002,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET6,CEM-DC3-P002,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET4,CEM-DC3-P002,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET5,CEM-DC3-P002,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET6,CEM-DC3-P002,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET3,CEM-DC3-P002,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET2,CEM-DC3-P002,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-032-ML2,ET3,CEM-DC3-P002,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET7,CEM-DC3-P003,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET8,CEM-DC3-P003,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET9,CEM-DC3-P003,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET7,CEM-DC3-P003,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET8,CEM-DC3-P003,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET9,CEM-DC3-P003,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET4,CEM-DC3-P003,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET4,CEM-DC3-P003,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET5,CEM-DC3-P003,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET10,CEM-DC3-P004,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET11,CEM-DC3-P004,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET12,CEM-DC3-P004,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET10,CEM-DC3-P004,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET11,CEM-DC3-P004,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET12,CEM-DC3-P004,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET6,CEM-DC3-P004,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET5,CEM-DC3-P004,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-032-ML2,ET6,CEM-DC3-P004,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET13,RATE-DC3-P001,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET14,RATE-DC3-P001,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET15,RATE-DC3-P001,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET13,RATE-DC3-P001,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET14,RATE-DC3-P001,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET15,RATE-DC3-P001,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET7,RATE-DC3-P001,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET7,RATE-DC3-P001,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET8,RATE-DC3-P001,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET16,RATE-DC3-P002,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET17,RATE-DC3-P002,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET18,RATE-DC3-P002,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET16,RATE-DC3-P002,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET17,RATE-DC3-P002,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET18,RATE-DC3-P002,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET9,RATE-DC3-P002,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET8,RATE-DC3-P002,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-032-ML2,ET9,RATE-DC3-P002,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET19,RATE-DC3-P003,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET20,RATE-DC3-P003,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET21,RATE-DC3-P003,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET19,RATE-DC3-P003,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET20,RATE-DC3-P003,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET21,RATE-DC3-P003,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET10,RATE-DC3-P003,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET10,RATE-DC3-P003,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET11,RATE-DC3-P003,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET22,RATE-DC3-P004,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET23,RATE-DC3-P004,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET24,RATE-DC3-P004,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET22,RATE-DC3-P004,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET23,RATE-DC3-P004,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET24,RATE-DC3-P004,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET12,RATE-DC3-P004,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET11,RATE-DC3-P004,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-032-ML2,ET12,RATE-DC3-P004,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET25,RATE-DC3-P005,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET26,RATE-DC3-P005,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET27,RATE-DC3-P005,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET25,RATE-DC3-P005,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET26,RATE-DC3-P005,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET27,RATE-DC3-P005,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET13,RATE-DC3-P005,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET13,RATE-DC3-P005,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET14,RATE-DC3-P005,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET28,RATE-DC3-P006,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET29,RATE-DC3-P006,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET30,RATE-DC3-P006,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET28,RATE-DC3-P006,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET29,RATE-DC3-P006,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET30,RATE-DC3-P006,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET15,RATE-DC3-P006,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET14,RATE-DC3-P006,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-032-ML2,ET15,RATE-DC3-P006,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET31,RATE-DC3-P007,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET32,RATE-DC3-P007,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET33,RATE-DC3-P007,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET31,RATE-DC3-P007,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET32,RATE-DC3-P007,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET33,RATE-DC3-P007,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET16,RATE-DC3-P007,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET16,RATE-DC3-P007,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET17,RATE-DC3-P007,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET34,RATE-DC3-P008,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET35,RATE-DC3-P008,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET36,RATE-DC3-P008,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET34,RATE-DC3-P008,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET35,RATE-DC3-P008,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET36,RATE-DC3-P008,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET18,RATE-DC3-P008,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET17,RATE-DC3-P008,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-032-ML2,ET18,RATE-DC3-P008,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET37,RATE-DC3-P009,P1P1,10G-CR,MD-A,,
DC3-FIC-0000-031-C01,ET38,RATE-DC3-P009,P6P1,10G-CR,UCAST-A,BOND1,
DC3-FIC-0000-031-C01,ET39,RATE-DC3-P009,P5P1,10G-CR,BEM-A,BOND0,
DC3-FIC-0000-032-C02,ET37,RATE-DC3-P009,P4P2,10G-CR,MD-B,,
DC3-FIC-0000-032-C02,ET38,RATE-DC3-P009,P5P2,10G-CR,UCAST-B,BOND1,
DC3-FIC-0000-032-C02,ET39,RATE-DC3-P009,P6P2,10G-CR,BEM-B,BOND0,
DC3-JPM-0000-031-ML1,ET19,RATE-DC3-P009,EM1,1000-T,MGT-A,BOND3,
DC3-JPM-0000-032-ML2,ET19,RATE-DC3-P009,P3P2,1000-T,MGT-B,BOND3,
DC3-JPM-0000-031-ML1,ET20,RATE-DC3-P009,IMM,1000-T,,,
,,,,,,,
DC3-JPM-0000-032-ML2,ET20,PQT-DC3-F001,IMM,1000-T,,,
DC3-JPM-0000-031-ML1,ET21,PQT-DC3-F001,EM1,1000-T,,,
DC3-JPM-0000-032-ML2,ET21,PQT-DC3-F001,P3P2,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET1,CEM-DC3-P001,ETH0,10G-CR,,,
DC3-FIC-0000-031-C01,ET2,CEM-DC3-P001,ETH6,10G-CR,,,
DC3-FIC-0000-031-C01,ET3,CEM-DC3-P001,ETH4,10G-CR,,,
DC3-FIC-0000-032-C02,ET1,CEM-DC3-P001,ETH3,10G-CR,,,
DC3-FIC-0000-032-C02,ET2,CEM-DC3-P001,ETH5,10G-CR,,,
DC3-FIC-0000-032-C02,ET3,CEM-DC3-P001,ETH7,10G-CR,,,
DC3-JPM-0000-031-MC1,ET2,CEM-DC3-P001,ETH2,1000-T,,,
DC3-JPM-0000-032-MC2,ET2,CEM-DC3-P001,ETH1,1000-T,,,
DC3-JPM-0000-031-MC1,ET3,CEM-DC3-P001,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET4,CEM-DC3-P002,ETH0,10G-CR,,,
DC3-FIC-0000-031-C01,ET5,CEM-DC3-P002,ETH6,10G-CR,,,
DC3-FIC-0000-031-C01,ET6,CEM-DC3-P002,ETH4,10G-CR,,,
DC3-FIC-0000-032-C02,ET4,CEM-DC3-P002,ETH3,10G-CR,,,
DC3-FIC-0000-032-C02,ET5,CEM-DC3-P002,ETH5,10G-CR,,,
DC3-FIC-0000-032-C02,ET6,CEM-DC3-P002,ETH7,10G-CR,,,
DC3-JPM-0000-031-MC1,ET4,CEM-DC3-P002,ETH2,1000-T,,,
DC3-JPM-0000-032-MC2,ET3,CEM-DC3-P002,ETH1,1000-T,,,
DC3-JPM-0000-032-MC2,ET4,CEM-DC3-P002,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET7,CEM-DC3-P003,ETH0,10G-CR,,,
DC3-FIC-0000-031-C01,ET8,CEM-DC3-P003,ETH6,10G-CR,,,
DC3-FIC-0000-031-C01,ET9,CEM-DC3-P003,ETH4,10G-CR,,,
DC3-FIC-0000-032-C02,ET7,CEM-DC3-P003,ETH3,10G-CR,,,
DC3-FIC-0000-032-C02,ET8,CEM-DC3-P003,ETH5,10G-CR,,,
DC3-FIC-0000-032-C02,ET9,CEM-DC3-P003,ETH7,10G-CR,,,
DC3-JPM-0000-031-MC1,ET5,CEM-DC3-P003,ETH2,1000-T,,,
DC3-JPM-0000-032-MC2,ET5,CEM-DC3-P003,ETH1,1000-T,,,
DC3-JPM-0000-031-MC1,ET6,CEM-DC3-P003,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET10,CEM-DC3-P004,ETH0,10G-CR,,,
DC3-FIC-0000-031-C01,ET11,CEM-DC3-P004,ETH6,10G-CR,,,
DC3-FIC-0000-031-C01,ET12,CEM-DC3-P004,ETH4,10G-CR,,,
DC3-FIC-0000-032-C02,ET10,CEM-DC3-P004,ETH3,10G-CR,,,
DC3-FIC-0000-032-C02,ET11,CEM-DC3-P004,ETH5,10G-CR,,,
DC3-FIC-0000-032-C02,ET12,CEM-DC3-P004,ETH7,10G-CR,,,
DC3-JPM-0000-031-MC1,ET7,CEM-DC3-P004,ETH2,1000-T,,,
DC3-JPM-0000-032-MC2,ET6,CEM-DC3-P004,ETH1,1000-T,,,
DC3-JPM-0000-032-MC2,ET7,CEM-DC3-P004,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET13,CEM-DC3-P005,ETH0,10G-CR,,,
DC3-FIC-0000-031-C01,ET14,CEM-DC3-P005,ETH6,10G-CR,,,
DC3-FIC-0000-031-C01,ET15,CEM-DC3-P005,ETH4,10G-CR,,,
DC3-FIC-0000-032-C02,ET13,CEM-DC3-P005,ETH3,10G-CR,,,
DC3-FIC-0000-032-C02,ET14,CEM-DC3-P005,ETH5,10G-CR,,,
DC3-FIC-0000-032-C02,ET15,CEM-DC3-P005,ETH7,10G-CR,,,
DC3-JPM-0000-031-MC1,ET8,CEM-DC3-P005,ETH2,1000-T,,,
DC3-JPM-0000-032-MC2,ET8,CEM-DC3-P005,ETH1,1000-T,,,
DC3-JPM-0000-031-MC1,ET9,CEM-DC3-P005,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET16,CEM-DC3-P006,ETH0,10G-CR,,,
DC3-FIC-0000-031-C01,ET17,CEM-DC3-P006,ETH6,10G-CR,,,
DC3-FIC-0000-031-C01,ET18,CEM-DC3-P006,ETH4,10G-CR,,,
DC3-FIC-0000-032-C02,ET16,CEM-DC3-P006,ETH3,10G-CR,,,
DC3-FIC-0000-032-C02,ET17,CEM-DC3-P006,ETH5,10G-CR,,,
DC3-FIC-0000-032-C02,ET18,CEM-DC3-P006,ETH7,10G-CR,,,
DC3-JPM-0000-031-MC1,ET10,CEM-DC3-P006,ETH2,1000-T,,,
DC3-JPM-0000-032-MC2,ET9,CEM-DC3-P006,ETH1,1000-T,,,
DC3-JPM-0000-032-MC2,ET10,CEM-DC3-P006,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET19,CEM-DC3-P007,ETH0,10G-CR,,,
DC3-FIC-0000-031-C01,ET20,CEM-DC3-P007,ETH6,10G-CR,,,
DC3-FIC-0000-031-C01,ET21,CEM-DC3-P007,ETH4,10G-CR,,,
DC3-FIC-0000-032-C02,ET19,CEM-DC3-P007,ETH3,10G-CR,,,
DC3-FIC-0000-032-C02,ET20,CEM-DC3-P007,ETH5,10G-CR,,,
DC3-FIC-0000-032-C02,ET21,CEM-DC3-P007,ETH7,10G-CR,,,
DC3-JPM-0000-031-MC1,ET11,CEM-DC3-P007,ETH2,1000-T,,,
DC3-JPM-0000-032-MC2,ET11,CEM-DC3-P007,ETH1,1000-T,,,
DC3-JPM-0000-031-MC1,ET12,CEM-DC3-P007,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET22,CEM-DC3-P008,ETH0,10G-CR,,,
DC3-FIC-0000-031-C01,ET23,CEM-DC3-P008,ETH6,10G-CR,,,
DC3-FIC-0000-031-C01,ET24,CEM-DC3-P008,ETH4,10G-CR,,,
DC3-FIC-0000-032-C02,ET22,CEM-DC3-P008,ETH3,10G-CR,,,
DC3-FIC-0000-032-C02,ET23,CEM-DC3-P008,ETH5,10G-CR,,,
DC3-FIC-0000-032-C02,ET24,CEM-DC3-P008,ETH7,10G-CR,,,
DC3-JPM-0000-031-MC1,ET13,CEM-DC3-P008,ETH2,1000-T,,,
DC3-JPM-0000-032-MC2,ET12,CEM-DC3-P008,ETH1,1000-T,,,
DC3-JPM-0000-032-MC2,ET13,CEM-DC3-P008,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET25,CEM-DC3-P009,ETH0,10G-CR,,,
DC3-FIC-0000-031-C01,ET26,CEM-DC3-P009,ETH6,10G-CR,,,
DC3-FIC-0000-031-C01,ET27,CEM-DC3-P009,ETH4,10G-CR,,,
DC3-FIC-0000-032-C02,ET25,CEM-DC3-P009,ETH3,10G-CR,,,
DC3-FIC-0000-032-C02,ET26,CEM-DC3-P009,ETH5,10G-CR,,,
DC3-FIC-0000-032-C02,ET27,CEM-DC3-P009,ETH7,10G-CR,,,
DC3-JPM-0000-031-MC1,ET14,CEM-DC3-P009,ETH2,1000-T,,,
DC3-JPM-0000-032-MC2,ET14,CEM-DC3-P009,ETH1,1000-T,,,
DC3-JPM-0000-031-MC1,ET15,CEM-DC3-P009,IMM,1000-T,,,
,,,,,,,
DC3-FIC-0000-031-C01,ET28,CEM-DC3-P010,ETH0,10G-CR,,,
DC3-FIC-0000-031-C01,ET29,CEM-DC3-P010,ETH6,10G-CR,,,
DC3-FIC-0000-031-C01,ET30,CEM-DC3-P010,ETH4,10G-CR,,,
DC3-FIC-0000-032-C02,ET28,CEM-DC3-P010,ETH3,10G-CR,,,
