NETWORK PATCHING,,,,,,,
FR2-JPM-M512-205-ML1,ET8,RATE-FR2-P005,IMM,1000-T,,,
FR2-FIC-M512-205-C01,ET16,RATE-FR2-P006,P1P1,10G-CR,MD-A,,
FR2-FIC-M512-205-C01,ET17,RATE-FR2-P006,P6P1,10G-CR,UCAST-A,BOND1,
FR2-FIC-M512-205-C01,ET18,RATE-FR2-P006,P5P1,10G-CR,BEM-A,BOND0,
FR2-FIC-M512-206-C02,ET16,RATE-FR2-P006,P4P2,10G-CR,MD-B,,
FR2-FIC-M512-206-C02,ET17,RATE-FR2-P006,P5P2,10G-CR,UCAST-B,BOND1,
FR2-FIC-M512-206-C02,ET18,RATE-FR2-P006,P6P2,10G-CR,BEM-B,BOND0,
FR2-JPM-M512-205-ML1,ET9,RATE-FR2-P006,EM1,1000-T,MGT-A,BOND3,
FR2-FIC-M512-206-ML2,ET8,RATE-FR2-P006,P3P2,1000-T,MGT-B,BOND3,
FR2-FIC-M512-206-ML2,ET9,RATE-FR2-P006,IMM,1000-T,,,
FR2-FIC-M512-205-C01,ET19,RATE-FR2-P007,P1P1,10G-CR,MD-A,,
FR2-FIC-M512-205-C01,ET20,RATE-FR2-P007,P6P1,10G-CR,UCAST-A,BOND1,
FR2-FIC-M512-205-C01,ET21,RATE-FR2-P007,P5P1,10G-CR,BEM-A,BOND0,
FR2-FIC-M512-206-C02,ET19,RATE-FR2-P007,P4P2,10G-CR,MD-B,,
FR2-FIC-M512-206-C02,ET20,RATE-FR2-P007,P5P2,10G-CR,UCAST-B,BOND1,
FR2-FIC-M512-206-C02,ET21,RATE-FR2-P007,P6P2,10G-CR,BEM-B,BOND0,
FR2-JPM-M512-205-ML1,ET10,RATE-FR2-P007,EM1,1000-T,MGT-A,BOND3,
FR2-FIC-M512-206-ML2,ET10,RATE-FR2-P007,P3P2,1000-T,MGT-B,BOND3,
FR2-JPM-M512-205-ML1,ET11,RATE-FR2-P007,IMM,1000-T,,,
FR2-FIC-M512-205-C01,ET22,RATE-FR2-P008,P1P1,10G-CR,MD-A,,
FR2-FIC-M512-205-C01,ET23,RATE-FR2-P008,P6P1,10G-CR,UCAST-A,BOND1,
FR2-FIC-M512-205-C01,ET24,RATE-FR2-P008,P5P1,10G-CR,BEM-A,BOND0,
FR2-FIC-M512-206-C02,ET22,RATE-FR2-P008,P4P2,10G-CR,MD-B,,
FR2-FIC-M512-206-C02,ET23,RATE-FR2-P008,P5P2,10G-CR,UCAST-B,BOND1,
FR2-FIC-M512-206-C02,ET24,RATE-FR2-P008,P6P2,10G-CR,BEM-B,BOND0,
FR2-JPM-M512-205-ML1,ET12,RATE-FR2-P008,EM1,1000-T,MGT-A,BOND3,
FR2-FIC-M512-206-ML2,ET11,RATE-FR2-P008,P3P2,1000-T,MGT-B,BOND3,
FR2-FIC-M512-206-ML2,ET12,RATE-FR2-P008,IMM,1000-T,,,
FR2-FIC-M512-206-ML2,ET13,PQT-FR2-F001,IMM,1000-T,,,
FR2-JPM-M512-205-ML1,ET13,PQT-FR2-F001,EM1,1000-T,MGTA,BOND3,
FR2-FIC-M512-206-ML2,ET14,PQT-FR2-F001,P3P2,1000-T,MGTB,BOND3,
